NAME,LIGHT-YEARS FROM EARTH,PLANET MASS,STELLAR MAGNITUDE,DISCOVERY DATE

11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007

11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009

14 Andromedae b,246,4.8 Jupiters,5.23133,2008

14 Herculis b,58,4.66 Jupiters,6.61935,2002

16 Cygni B b,69,1.78 Jupiters,6.215,1996

17 Scorpii b,408,4.32 Jupiters,5.22606,2020

18 Delphini b,249,10.3 Jupiters,5.51048,2008

1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008

24 Bootis b,313,0.91 Jupiters,5.59,2018

24 Sextantis b,235,1.99 Jupiters,6.4535,2010

11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007

11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009

14 Andromedae b,246,4.8 Jupiters,5.23133,2008

14 Herculis b,58,4.66 Jupiters,6.61935,2002

16 Cygni B b,69,1.78 Jupiters,6.215,1996

17 Scorpii b,408,4.32 Jupiters,5.22606,2020

18 Delphini b,249,10.3 Jupiters,5.51048,2008

1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008

24 Bootis b,313,0.91 Jupiters,5.59,2018

24 Sextantis b,235,1.99 Jupiters,6.4535,2010

11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007

11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009

14 Andromedae b,246,4.8 Jupiters,5.23133,2008

14 Herculis b,58,4.66 Jupiters,6.61935,2002

16 Cygni B b,69,1.78 Jupiters,6.215,1996

17 Scorpii b,408,4.32 Jupiters,5.22606,2020

18 Delphini b,249,10.3 Jupiters,5.51048,2008

1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008

24 Bootis b,313,0.91 Jupiters,5.59,2018

24 Sextantis b,235,1.99 Jupiters,6.4535,2010

11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007

11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009

14 Andromedae b,246,4.8 Jupiters,5.23133,2008

14 Herculis b,58,4.66 Jupiters,6.61935,2002

16 Cygni B b,69,1.78 Jupiters,6.215,1996

17 Scorpii b,408,4.32 Jupiters,5.22606,2020

18 Delphini b,249,10.3 Jupiters,5.51048,2008

1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008

24 Bootis b,313,0.91 Jupiters,5.59,2018

24 Sextantis b,235,1.99 Jupiters,6.4535,2010

